Green-winged Teal,12.0
Least Sandpiper,3.0
Long-billed Dowitcher,2.0
Mourning Dove,2.0
Common Goldeneye,2.0
Canvasback,1.0
Bufflehead,1.0
Gadwall,2.0
Mallard/Mexican Duck,2.0
Tree Swallow,50.0
