x,y,GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,OBSERVATION COUNT,BREEDING BIRD ATLAS CODE,BREEDING BIRD ATLAS CATEGORY,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS
-114.1514897,34.2604797,URN:CornellLabOfOrnithology:EBIRD:OBS184494783,2013-08-06 19:35:25,28747,species,Phainopepla,Phainopepla nitens,,,X,,,,United States,US,California,US-CA,San Bernardino,US-CA-071,,33,,,Parker Dam Rd,AZ Quail Hollow,L2038075,P,2013-03-04,12:30:00,obsr175273,S13300974,Traveling,P22,EBIRD,60,0.322,,1,1,,0,1,0,,Birding only at Qual Hollow and thickets
-114.1514897,34.2604797,URN:CornellLabOfOrnithology:EBIRD:OBS184494799,2013-08-06 19:35:25,31084,species,House Finch,Haemorhous mexicanus,,,X,,,,United States,US,California,US-CA,San Bernardino,US-CA-071,,33,,,Parker Dam Rd,AZ Quail Hollow,L2038075,P,2013-03-04,12:30:00,obsr175273,S13300974,Traveling,P22,EBIRD,60,0.322,,1,1,,0,1,0,,Birding only at Qual Hollow and thickets
-114.1431401,34.2609201,URN:CornellLabOfOrnithology:EBIRD:OBS134919895,2019-12-16 11:32:40,31930,species,White-crowned Sparrow,Zonotrichia leucophrys,,,25,,,,United States,US,California,US-CA,San Bernardino,US-CA-071,,33,,,BLM--Cable Car Day Use Area,L1357521,P,2011-12-30,13:57:00,obsr169186,S9484060,Stationary,P21,EBIRD,26,,,2,1,G332804,0,1,0,,Birded with Jon Mann
-114.1397411,34.2614541,URN:CornellLabOfOrnithology:EBIRD:OBS150003644,2013-08-06 19:30:47,33029,species,Wilson's Warbler,Cardellina pusilla,,,18,,,,United States,US,California,US-CA,San Bernardino,US-CA-071,,33,,,Parker Strip -- River Lodge Resort ,L1513037,P,2012-04-26,13:40:00,obsr28253,S10558348,Traveling,P22,EBIRD,15,0.322,,3,1,G397666,0,1,0,,
-114.1397411,34.2614541,URN:CornellLabOfOrnithology:EBIRD:OBS150003659,2013-08-06 19:30:47,32557,species,Brown-headed Cowbird,Molothrus ater,,,14,,,,United States,US,California,US-CA,San Bernardino,US-CA-071,,33,,,Parker Strip -- River Lodge Resort ,L1513037,P,2012-04-26,13:40:00,obsr28253,S10558348,Traveling,P22,EBIRD,15,0.322,,3,1,G397666,0,1,0,,
-114.1397411,34.2614541,URN:CornellLabOfOrnithology:EBIRD:OBS149965012,2013-08-06 19:30:46,16235,species,Say's Phoebe,Sayornis saya,,,1,,,,United States,US,California,US-CA,San Bernardino,US-CA-071,,33,,,Parker Strip -- River Lodge Resort ,L1513037,P,2012-04-26,13:40:00,obsr86405,S10555777,Traveling,P22,EBIRD,15,0.322,,3,1,G397666,0,1,0,,
-114.1397411,34.2614541,URN:CornellLabOfOrnithology:EBIRD:OBS149965013,2013-08-06 19:30:46,32557,species,Brown-headed Cowbird,Molothrus ater,,,14,,,,United States,US,California,US-CA,San Bernardino,US-CA-071,,33,,,Parker Strip -- River Lodge Resort ,L1513037,P,2012-04-26,13:40:00,obsr86405,S10555777,Traveling,P22,EBIRD,15,0.322,,3,1,G397666,0,1,0,,
-114.2248598,34.2091996,URN:CornellLabOfOrnithology:EBIRD:OBS251605846,2018-08-03 05:20:52,642,species,Common Goldeneye,Bucephala clangula,,,1,,,,United States,US,California,US-CA,San Bernardino,US-CA-071,,33,,,Emerald Cove ponds,L855566,H,2014-05-06,12:53:00,obsr28253,S18279478,Traveling,P22,EBIRD,13,0.200,,1,1,,0,1,1,,Submitted from  BirdLog NA for Android v1.9.3
-114.2248598,34.2091996,URN:CornellLabOfOrnithology:EBIRD:OBS279619753,2018-08-03 05:53:41,5314,form,American Coot,Fulica americana,American Coot (Red-shielded),Fulica americana (Red-shielded),1,,,,United States,US,California,US-CA,San Bernardino,US-CA-071,,33,,,Emerald Cove ponds,L855566,H,2014-11-06,09:41:00,obsr28253,S20462013,Traveling,P22,EBIRD,5,0.200,,1,1,,0,1,0,,Submitted from  BirdLog NA for Android v1.9.6
-114.2248598,34.2091996,URN:CornellLabOfOrnithology:EBIRD:OBS567099789,2018-01-14 04:55:36,642,species,Common Goldeneye,Bucephala clangula,,,1,,,,United States,US,California,US-CA,San Bernardino,US-CA-071,,33,,,Emerald Cove ponds,L855566,H,2018-01-13,11:12:00,obsr28253,S41881461,Traveling,P22,EBIRD,11,0.091,,2,1,G2862643,0,1,0,,
